epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,375.327,1.05089,2.3928,1.42519,0.70612,0.17835,0.15767,0.08708,1.12313,1.75253,1.33196,0.00997717,0.00332572,0.00997717,0.00332572,0.00997717,0.00332572,0.00997717,0.00332572
2,616.606,0.96376,1.75186,1.34602,0.38585,0.20921,0.1812,0.09676,1.13085,1.68236,1.32905,0.0197794,0.00659313,0.0197794,0.00659313,0.0197794,0.00659313,0.0197794,0.00659313
3,850.406,0.99975,1.67749,1.35706,0.65825,0.1651,0.14905,0.07842,1.25683,1.78803,1.4731,0.0293836,0.00979454,0.0293836,0.00979454,0.0293836,0.00979454,0.0293836,0.00979454
4,1077.64,1.00726,1.63654,1.37038,0.42636,0.19328,0.2088,0.11746,1.09468,1.52403,1.37138,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1307.7,0.96378,1.5586,1.3494,0.60916,0.20147,0.20196,0.11625,1.02062,1.64806,1.27461,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1539.11,0.93588,1.50771,1.33379,0.64818,0.18675,0.22442,0.12195,1.02969,1.6112,1.2375,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1770.75,0.91269,1.46729,1.32756,0.66184,0.2102,0.2367,0.13635,0.96613,1.49213,1.21245,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2000.98,0.89277,1.42662,1.30992,0.4325,0.28563,0.25857,0.15217,0.96216,1.37083,1.20319,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2230.31,0.86512,1.38851,1.29638,0.45197,0.31427,0.27754,0.16427,0.97373,1.30297,1.22009,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2459.08,0.85641,1.3677,1.29233,0.47249,0.29165,0.27208,0.16099,0.92671,1.33061,1.18434,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2687.26,0.85073,1.35711,1.28611,0.44907,0.28524,0.2673,0.15558,0.93576,1.36532,1.17934,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2916.27,0.83466,1.33534,1.27751,0.47301,0.33775,0.30415,0.17816,0.93718,1.24021,1.18488,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3147.88,0.82227,1.31471,1.2683,0.53426,0.3449,0.33026,0.19611,0.91031,1.23345,1.17389,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3376.12,0.8147,1.31484,1.26973,0.50925,0.35253,0.32666,0.1924,0.88815,1.25002,1.13789,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3603.86,0.80979,1.29248,1.26339,0.52806,0.3528,0.33687,0.20203,0.90545,1.21816,1.15858,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3831.58,0.8052,1.28126,1.2583,0.53783,0.34107,0.32884,0.19521,0.88483,1.24824,1.13232,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4058.39,0.80179,1.27423,1.26337,0.5454,0.35801,0.34782,0.207,0.90601,1.19742,1.17681,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4285.7,0.79112,1.2715,1.25423,0.58558,0.35072,0.35933,0.21357,0.84603,1.24374,1.10678,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4519.33,0.78279,1.25542,1.24894,0.57496,0.36981,0.36509,0.2194,0.87566,1.16614,1.13309,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4747.51,0.78468,1.25779,1.24679,0.56461,0.38046,0.38023,0.22618,0.89215,1.16294,1.15124,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4975.39,0.76898,1.23068,1.23715,0.58637,0.36002,0.37231,0.22467,0.87611,1.16214,1.12979,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5203.79,0.7743,1.24147,1.24013,0.59414,0.375,0.38372,0.2356,0.84212,1.18062,1.09058,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5435.19,0.77021,1.2343,1.23932,0.61168,0.39072,0.40312,0.24848,0.83748,1.13756,1.11063,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5667.28,0.76499,1.22006,1.23331,0.6059,0.38994,0.40663,0.25002,0.82487,1.11707,1.08536,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5898.04,0.761,1.21083,1.23489,0.64142,0.39006,0.41579,0.25231,0.82843,1.12279,1.10279,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6129.86,0.75011,1.20263,1.22377,0.6332,0.38796,0.41041,0.24945,0.82503,1.12311,1.08868,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6357.92,0.75517,1.20952,1.23302,0.66756,0.38214,0.42822,0.26896,0.80555,1.11155,1.07528,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6588.23,0.74777,1.19578,1.22557,0.65846,0.40185,0.43397,0.26536,0.81886,1.09948,1.08289,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6816.11,0.74584,1.19638,1.21935,0.65514,0.4016,0.44667,0.27928,0.79594,1.11248,1.06824,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7051.97,0.74379,1.17415,1.2203,0.66276,0.41734,0.45466,0.27974,0.81298,1.08016,1.08306,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7284.57,0.74237,1.18337,1.224,0.69424,0.42142,0.46406,0.2906,0.78796,1.09425,1.06473,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7513.47,0.73955,1.16633,1.21667,0.65464,0.41842,0.4524,0.28623,0.79429,1.06057,1.05688,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7741.09,0.73145,1.16689,1.21586,0.67329,0.41766,0.47258,0.29836,0.7927,1.05419,1.06361,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7970.4,0.73914,1.16911,1.22049,0.67412,0.42568,0.46508,0.29545,0.80316,1.04352,1.06877,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8196.8,0.72522,1.16062,1.21186,0.65549,0.43734,0.47553,0.3037,0.78101,1.03299,1.06022,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8424.84,0.72877,1.15712,1.20993,0.71038,0.42944,0.49302,0.30829,0.78477,1.0481,1.05035,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8655.69,0.72148,1.15491,1.21297,0.71024,0.44293,0.50216,0.32044,0.7941,1.0104,1.06548,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8885.21,0.71658,1.15101,1.20974,0.7162,0.4493,0.50708,0.32654,0.77688,1.0189,1.05425,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9118.39,0.71536,1.13703,1.20734,0.69423,0.42819,0.48932,0.31713,0.76335,1.04239,1.04667,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9348.97,0.71129,1.13416,1.20095,0.69438,0.46555,0.51347,0.33156,0.77178,1.01515,1.04578,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9582.15,0.71367,1.14515,1.20491,0.71928,0.43369,0.51097,0.33245,0.75726,1.01389,1.03576,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9815.7,0.71333,1.13202,1.20174,0.70398,0.47201,0.5316,0.33889,0.76267,1.01351,1.0349,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3778.4,0.70857,1.12672,1.19944,0.72291,0.4706,0.53373,0.34564,0.74619,1.01484,1.0188,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4012.83,0.70645,1.12707,1.20028,0.71754,0.46459,0.53185,0.34908,0.7508,0.98827,1.02187,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4245.44,0.70063,1.11651,1.19281,0.74224,0.45728,0.5387,0.3506,0.74381,0.99917,1.02322,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4473.85,0.70319,1.12055,1.19674,0.71811,0.48076,0.55012,0.36132,0.74366,0.99696,1.02248,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
