epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,508.808,1.62984,1.59356,1.19682,0.78493,0.70355,0.77174,0.41148,1.43347,1.11178,1.17856,0.00999072,0.00333024,0.00999072,0.00333024,0.00999072,0.00333024,0.00999072,0.00333024
2,954.867,1.5688,1.08835,1.16446,0.76198,0.70903,0.72928,0.38464,1.49122,1.08412,1.21731,0.0197928,0.00659761,0.0197928,0.00659761,0.0197928,0.00659761,0.0197928,0.00659761
3,1371,1.60211,1.06404,1.18973,0.75845,0.70194,0.73563,0.38956,1.48791,1.06113,1.24315,0.0293969,0.00979897,0.0293969,0.00979897,0.0293969,0.00979897,0.0293969,0.00979897
4,1771.9,1.60085,1.02599,1.19477,0.79807,0.70111,0.75819,0.41038,1.46909,1.02572,1.22907,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2164.67,1.55812,0.95876,1.18037,0.81348,0.73571,0.79847,0.44277,1.43215,0.92304,1.207,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2557.16,1.53249,0.91377,1.16651,0.81046,0.7627,0.80285,0.44919,1.4058,0.88767,1.19574,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2958.68,1.52069,0.88498,1.1573,0.83134,0.77334,0.81752,0.46465,1.41678,0.88004,1.19533,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3348.35,1.51693,0.86975,1.15091,0.83767,0.78539,0.83008,0.47297,1.37528,0.82981,1.18088,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3740.73,1.49341,0.85249,1.14788,0.84421,0.79213,0.84218,0.48216,1.38444,0.8225,1.17594,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4130.29,1.49164,0.8429,1.14306,0.83622,0.79232,0.83884,0.48366,1.35452,0.81659,1.15729,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4515.83,1.47562,0.82316,1.13775,0.85279,0.78806,0.84399,0.49623,1.34127,0.79607,1.15605,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4896.43,1.47403,0.81656,1.13624,0.84215,0.81041,0.85275,0.49905,1.33797,0.78241,1.15091,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5280.86,1.47191,0.80404,1.12855,0.85738,0.79139,0.84525,0.49474,1.33304,0.77624,1.1428,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5668.81,1.45994,0.7941,1.12679,0.86503,0.81264,0.8569,0.50776,1.32531,0.76794,1.13801,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6061.78,1.45885,0.79247,1.12279,0.86652,0.80364,0.85687,0.50364,1.33124,0.75924,1.14929,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6497.7,1.45712,0.7882,1.12311,0.85866,0.82191,0.85921,0.51091,1.30706,0.75221,1.12894,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6905.01,1.44941,0.78093,1.12071,0.85227,0.81809,0.86004,0.51087,1.31307,0.75221,1.13274,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7295.33,1.44647,0.77976,1.11529,0.85739,0.82011,0.868,0.51788,1.30005,0.74279,1.12801,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7681.76,1.4302,0.76944,1.11609,0.87483,0.81548,0.87203,0.52246,1.30113,0.73195,1.12788,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,8109.21,1.43756,0.7669,1.1149,0.86549,0.82137,0.8682,0.5194,1.29665,0.73318,1.1251,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,8527.31,1.43644,0.76411,1.11069,0.86393,0.81449,0.86564,0.52247,1.29008,0.72165,1.12001,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,8948.18,1.42326,0.75145,1.11209,0.86737,0.82032,0.87093,0.52622,1.28224,0.71373,1.11974,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,9355.74,1.42665,0.75303,1.10829,0.8718,0.82671,0.87389,0.52932,1.28703,0.71656,1.11895,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,9750.25,1.41668,0.74751,1.10609,0.85806,0.82406,0.86896,0.52638,1.28457,0.71019,1.1166,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,10144.5,1.42249,0.74618,1.10717,0.86716,0.83101,0.8736,0.52926,1.27794,0.70774,1.1123,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,10537.9,1.41998,0.74263,1.10248,0.87207,0.82072,0.87015,0.5287,1.27723,0.70841,1.11177,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,10934.3,1.41859,0.74562,1.10524,0.86708,0.83601,0.8762,0.5329,1.27904,0.69923,1.11284,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,416.624,1.41441,0.73197,1.09859,0.87693,0.8263,0.8761,0.53145,1.27467,0.69937,1.10672,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,828.683,1.40771,0.73435,1.10097,0.86948,0.83395,0.87849,0.53441,1.27524,0.69105,1.1121,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1226.26,1.40798,0.73076,1.10042,0.87023,0.82609,0.87583,0.53339,1.27068,0.69075,1.10801,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1614.84,1.40772,0.72946,1.09779,0.87506,0.83372,0.88,0.53677,1.26611,0.68586,1.10296,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2003.47,1.39872,0.72466,1.09624,0.8707,0.83229,0.87967,0.5371,1.2654,0.68038,1.09972,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2388.63,1.39328,0.71865,1.0927,0.86998,0.84127,0.88316,0.54072,1.26543,0.6809,1.09951,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2769.66,1.39591,0.71229,1.09378,0.87806,0.82805,0.87935,0.53901,1.26413,0.68085,1.10154,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3152.79,1.40129,0.71549,1.09274,0.87665,0.83116,0.88083,0.54055,1.26242,0.67614,1.1011,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3542.85,1.38805,0.71031,1.0923,0.86245,0.84266,0.87826,0.5386,1.2612,0.67555,1.09842,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3931.9,1.39254,0.71214,1.09113,0.87384,0.83271,0.87918,0.53894,1.25955,0.67558,1.09709,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4333.01,1.38212,0.70274,1.08804,0.87374,0.83323,0.88025,0.54113,1.26036,0.67236,1.09791,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4732.41,1.3855,0.70281,1.08928,0.86729,0.84164,0.8791,0.54025,1.25603,0.67153,1.09529,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5124.44,1.38979,0.70002,1.08469,0.87277,0.83276,0.87966,0.54106,1.25635,0.67026,1.09439,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5516.23,1.38007,0.69424,1.08445,0.86774,0.83718,0.87923,0.54076,1.25503,0.66989,1.09323,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5907.42,1.38313,0.69824,1.08445,0.87636,0.83039,0.88139,0.54159,1.25327,0.67051,1.09255,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6296.2,1.38297,0.69545,1.08578,0.86927,0.83669,0.88042,0.54107,1.25228,0.669,1.09318,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6681.69,1.37821,0.69317,1.08375,0.86843,0.8359,0.88022,0.54165,1.25233,0.66774,1.09265,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7069.08,1.37845,0.69321,1.08172,0.86918,0.84015,0.88062,0.54191,1.25305,0.66543,1.09435,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7451.43,1.36204,0.68586,1.08271,0.87637,0.83161,0.88115,0.54265,1.25236,0.66435,1.09487,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7847,1.3707,0.68585,1.08173,0.87618,0.83139,0.88052,0.54289,1.25203,0.66373,1.09487,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8249.66,1.37314,0.68657,1.07724,0.86615,0.84338,0.87986,0.54325,1.25033,0.66283,1.0933,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8645.28,1.35994,0.67498,1.07885,0.87198,0.83547,0.87951,0.54401,1.24896,0.66295,1.09248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9033.21,1.36428,0.67969,1.07663,0.86737,0.84235,0.87905,0.54362,1.24857,0.66209,1.09233,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9419.05,1.3549,0.67363,1.07603,0.86959,0.83643,0.87877,0.54415,1.24787,0.66044,1.09195,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9809.32,1.36265,0.6746,1.07788,0.86778,0.84017,0.88037,0.54467,1.24797,0.65889,1.09221,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10207.5,1.35919,0.67292,1.07162,0.86583,0.84282,0.88063,0.54461,1.24707,0.65821,1.09141,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10598.6,1.36265,0.67705,1.07722,0.8726,0.83941,0.8809,0.54556,1.24656,0.65774,1.09071,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,10989.6,1.36532,0.67423,1.07643,0.87327,0.84127,0.8813,0.54576,1.24597,0.65646,1.09039,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,11383.6,1.36565,0.67707,1.07625,0.87254,0.84283,0.88181,0.546,1.2455,0.65555,1.09018,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11779.3,1.36554,0.67269,1.07605,0.87123,0.84378,0.88215,0.54648,1.24521,0.65484,1.08988,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,12172,1.36095,0.66922,1.0731,0.87333,0.84146,0.8827,0.54648,1.24462,0.65432,1.08933,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,12570.3,1.35916,0.66964,1.0732,0.87322,0.84048,0.88286,0.54664,1.24416,0.65332,1.0889,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,12971.1,1.35866,0.66508,1.07402,0.87432,0.83882,0.88274,0.54688,1.2436,0.6519,1.08868,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,13365.2,1.34866,0.65942,1.07089,0.86902,0.84367,0.88283,0.54724,1.24322,0.65128,1.08821,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,13758.2,1.34994,0.6593,1.06869,0.87088,0.84332,0.88282,0.54691,1.24327,0.65048,1.08809,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,14150.8,1.35046,0.65877,1.07106,0.87098,0.84414,0.8832,0.54758,1.24306,0.64962,1.08799,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,14550.8,1.34736,0.65566,1.07013,0.8694,0.84537,0.88318,0.54712,1.24282,0.64922,1.0878,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,14946.9,1.33792,0.65508,1.06841,0.86938,0.84592,0.88335,0.54734,1.24252,0.64865,1.08744,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,15337.2,1.34581,0.65374,1.06628,0.86994,0.84603,0.88303,0.54711,1.24238,0.64813,1.08704,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,15736.9,1.34561,0.65346,1.0657,0.86941,0.8472,0.88305,0.54737,1.24215,0.64806,1.0867,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,16127.2,1.33749,0.64708,1.06538,0.86918,0.84703,0.8831,0.5473,1.24209,0.64772,1.08651,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,16518.8,1.3405,0.64637,1.06086,0.87055,0.84752,0.88321,0.5473,1.24196,0.64744,1.08654,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,402.394,1.33191,0.63651,1.0587,0.8704,0.84783,0.88305,0.54742,1.2416,0.64723,1.0861,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,791.42,1.32753,0.63973,1.06064,0.86957,0.84808,0.88313,0.5475,1.24166,0.64686,1.08609,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,1175.7,1.33127,0.64132,1.063,0.86957,0.84828,0.88322,0.54783,1.24144,0.64697,1.08588,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,1566.84,1.3307,0.63955,1.06054,0.86827,0.84823,0.88336,0.54803,1.24143,0.64688,1.08582,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,1957.91,1.32199,0.63421,1.06117,0.86859,0.84847,0.88322,0.54817,1.24112,0.64637,1.08557,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2345.86,1.31583,0.6316,1.05709,0.86814,0.84959,0.88317,0.54796,1.24089,0.64632,1.08537,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2737.69,1.31839,0.62793,1.05714,0.86847,0.8497,0.88349,0.54827,1.2407,0.6462,1.08512,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3128.86,1.32499,0.6299,1.05602,0.86892,0.84947,0.88373,0.54821,1.24053,0.64536,1.08488,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3508.53,1.311,0.62394,1.0559,0.86876,0.84981,0.88361,0.54825,1.24038,0.64517,1.08465,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3891.72,1.31654,0.62539,1.05515,0.86955,0.8492,0.88369,0.54827,1.24026,0.64489,1.0844,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4274.52,1.30467,0.61983,1.05379,0.87001,0.84892,0.88348,0.54814,1.23989,0.64457,1.08432,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4657.61,1.30876,0.61854,1.05273,0.86976,0.84834,0.88347,0.54825,1.2398,0.64418,1.08428,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5037.5,1.31245,0.61557,1.04902,0.86973,0.84876,0.88343,0.54857,1.23978,0.64385,1.08419,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5415.04,1.30163,0.61127,1.04896,0.86841,0.8494,0.88346,0.54812,1.23969,0.64388,1.08408,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5798.2,1.30446,0.61426,1.04894,0.86834,0.84954,0.88351,0.54834,1.23957,0.64377,1.08391,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6185.69,1.30393,0.61215,1.04852,0.86802,0.85016,0.88326,0.54837,1.2397,0.64372,1.08387,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6566.28,1.29965,0.60958,1.04879,0.86867,0.84891,0.88324,0.54832,1.2395,0.64345,1.08377,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6945.94,1.29896,0.60794,1.04392,0.86941,0.84899,0.8831,0.54764,1.23966,0.64337,1.08371,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7341.08,1.28122,0.60127,1.04397,0.87032,0.84805,0.88323,0.54771,1.23953,0.64324,1.08355,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7741.32,1.28888,0.60083,1.04493,0.87027,0.84831,0.88315,0.54759,1.2393,0.64293,1.08342,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8132.58,1.29259,0.60132,1.04229,0.87021,0.84773,0.88305,0.54768,1.23902,0.64259,1.08324,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8514.48,1.29297,0.55581,1.05528,0.87238,0.84543,0.8831,0.54769,1.23898,0.64245,1.08323,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8887.2,1.28881,0.55216,1.05231,0.87063,0.84675,0.88323,0.54789,1.23879,0.64214,1.08317,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
